,site,holeID,Sextant,CAN,Device,deviceID,ofaID,Row,Column,apogeeST,bossST,metST,BOSSFiber,APOGEETrib,MTPFiber,LongLinkMTP,Comments,positionerID,APOGEEFiber
93,LCO,R+9C10,2,1,Positioner,P1061,10986,R+9,C10,10D,10D,10D,131,C11141016,C4,5,,1061,136
94,LCO,R+7C10,2,1,Positioner,P0482,395,R+7,C10,10E,10E,10E,132,C11141016,C5,5,,482,137
95,LCO,R+9C7,2,1,Positioner,P0229,10725,R+9,C7,11A,11A,11A,123,C11141016,C1,5,,229,133
96,LCO,R+10C6,2,1,Positioner,P0405,377,R+10,C6,11B,11B,11B,124,,,,,405,
97,LCO,R+10C8,2,1,Positioner,P0454,10752,R+10,C8,11C,11C,11C,125,,,,,454,
98,LCO,R+10C9,2,1,Positioner,P0945,10662,R+10,C9,11D,11D,11D,126,,,,,945,
99,LCO,R+10C10,2,1,Positioner,P0041,423,R+10,C10,11E,11E,11E,127,,,,,41,
100,LCO,R+4C11,2,1,Positioner,P0953,10557,R+4,C11,12A,12A,12A,118,,,,,953,
101,LCO,R+8C10,2,1,Fiducial,FTO-201478,201478,R+8,C10,19AA,19AA,19AA,,,,,,0,
102,LCO,R+10C7,2,1,Fiducial,FTO-201476,201476,R+10,C7,19BA,19BA,19BA,,,,,,0,
103,LCO,R+10C11,2,1,Fiducial,FTO-201484,201484,R+10,C11,19CA,19CA,19CA,,,,,,0,
104,LCO,R+9C11,2,1,Positioner,P1038,330,R+9,C11,8A,8A,8A,139,C11141016,D2,5,,1038,140
105,LCO,R+8C11,2,1,Positioner,P1204,445,R+8,C11,8B,8B,8B,140,,,,,1204,
106,LCO,R+7C11,2,1,Positioner,P1352,539,R+7,C11,8C,8C,8C,141,C11141016,D3,5,,1352,141
107,LCO,R+6C11,2,1,Positioner,P0768,241,R+6,C11,8D,8D,8D,142,,,,,768,
108,LCO,R+5C11,2,1,Positioner,P0653,126,R+5,C11,8E,8E,8E,143,C11141016,D4,5,,653,142
109,LCO,R+6C10,2,1,Positioner,P1305,10672,R+6,C10,9A,9A,9A,133,,,,,1305,
110,LCO,R+5C10,2,1,Positioner,P1390,11339,R+5,C10,9B,9B,9B,134,C11141016,C6,5,,1390,138
111,LCO,R+6C9,2,1,Positioner,P0826,363,R+6,C9,9C,9C,9C,135,,,,,826,
112,LCO,R+7C9,2,1,Positioner,P1269,11019,R+7,C9,9D,9D,9D,136,C11141016,D1,5,,1269,139
113,LCO,R+8C8,2,1,Positioner,P1147,11565,R+8,C8,9E,9E,9E,137,,,,,1147,
114,LCO,R+3C12,2,2,Positioner,P0773,544,R+3,C12,12B,12B,12B,119,C11141016,B5,5,broken APOGEE tributary fiber,773,131
115,LCO,R+4C12,2,2,Positioner,P1327,227,R+4,C12,12C,12C,12C,120,,,,,1327,
116,LCO,R+5C12,2,2,Positioner,P0727,509,R+5,C12,12D,12D,12D,121,C11141016,B6,5,,727,132
117,LCO,R+6C12,2,2,Positioner,P0679,490,R+6,C12,12E,12E,12E,122,,,,,679,
118,LCO,R+11C11,2,2,Positioner,P1045,188,R+11,C11,13A,13A,13A,113,C11141016,A6,5,,1045,126
119,LCO,R+11C10,2,2,Positioner,P0750,171,R+11,C10,13B,13B,13B,114,C11141016,B1,5,,750,127
120,LCO,R+11C9,2,2,Positioner,P0462,392,R+11,C9,13C,13C,13C,115,C11141016,B2,5,,462,128
121,LCO,R+11C8,2,2,Positioner,P0294,10700,R+11,C8,13D,13D,13D,116,C11141016,B3,5,,294,129
122,LCO,R+11C7,2,2,Positioner,P0893,374,R+11,C7,13E,13E,13E,117,C11141016,B4,5,,893,130
123,LCO,R+8C7,2,2,Positioner,P0855,530,R+8,C7,14A,14A,14A,108,,,,,855,
124,LCO,R+7C8,2,2,Positioner,P0182,197,R+7,C8,14B,14B,14B,109,C11141016,A4,5,,182,124
125,LCO,R+11C6,2,2,Positioner,P0890,424,R+11,C6,6A,6A,6A,149,C11141016,E2,5,,890,146
126,LCO,R+11C5,2,2,Positioner,P0461,10570,R+11,C5,6B,6B,6B,150,C11141016,E3,5,,461,147
127,LCO,R+11C4,2,2,Positioner,P1282,10832,R+11,C4,6C,6C,6C,151,C11141016,E4,5,,1282,148
128,LCO,R+10C5,2,2,Positioner,P0374,10614,R+10,C5,6D,6D,6D,152,,,,,374,
129,LCO,R+9C6,2,2,Positioner,P0670,10618,R+9,C6,6E,6E,6E,153,C11141016,E5,5,,670,149
130,LCO,R+7C12,2,2,Positioner,P0728,10765,R+7,C12,7A,7A,7A,144,C11141016,D5,5,,728,143
131,LCO,R+8C12,2,2,Positioner,P1001,540,R+8,C12,7B,7B,7B,145,,,,,1001,
132,LCO,R+9C12,2,2,Positioner,P0863,10860,R+9,C12,7C,7C,7C,146,C11141016,D6,5,,863,144
133,LCO,R+10C12,2,2,Positioner,P0817,11564,R+10,C12,7D,7D,7D,147,,,,,817,
134,LCO,R+11C12,2,2,Positioner,P0736,504,R+11,C12,7E,7E,7E,148,C11141016,E1,5,,736,145
135,LCO,R+2C13,2,3,Positioner,P1310,11308,R+2,C13,14C,14C,14C,110,,,,,1310,
136,LCO,R+3C13,2,3,Positioner,P1059,10877,R+3,C13,14D,14D,14D,111,C11141016,A5,5,,1059,125
137,LCO,R+4C13,2,3,Positioner,P0557,10729,R+4,C13,14E,14E,14E,112,,,,,557,
138,LCO,R+10C13,2,3,Positioner,P0494,11094,R+10,C13,15A,15A,15A,103,,,,,494,
139,LCO,R+11C13,2,3,Positioner,P1297,352,R+11,C13,15B,15B,15B,104,C11141016,A3,5,,1297,123
140,LCO,R+12C13,2,3,Positioner,P0708,10694,R+12,C13,15C,15C,15C,105,,,,,708,
141,LCO,R+12C12,2,3,Positioner,P1286,281,R+12,C12,15D,15D,15D,106,,,,,1286,
142,LCO,R+12C11,2,3,Positioner,P0926,10601,R+12,C11,15E,15E,15E,107,,,,,926,
143,LCO,R+12C4,2,3,Positioner,P0585,11574,R+12,C4,16A,16A,16A,98,,,,,585,
144,LCO,R+12C3,2,3,Positioner,P1361,11150,R+12,C3,16B,16B,16B,99,,,,,1361,
