# This table collects all the attributes for positions (holes) around the wok.  The file is generated
# by github.com/csayres/sdssconv/python/sdssconv/wokCoords.py.  Solid models define 3D position and orientation
# of holes, Ricks fps_filledHex is used to determine the type of element (positioner, fiducial) in each hole.
# canbus, sextant, holeID, etc info are described on wiki (pending!)
# ---------------------------------------------------------------------------------------------------------------------------
# column descriptions
# ---------------------------------------------------------------------------------------------------------------------------
# 0th: unique index
# wokType: "LCO" or "APO"
# holeType: "ApogeeBoss", "Boss", "GFA", "Empty", or "Fiducial"
# holeID: unique ID string for hole (see wiki)
# hexRow: row index of hole, integer in range [-13, 13], only defined for hex pattern holes
# hexCol: column index of hole, integer in range [1, 27], only defined for hex pattern holes
# x: x position of hole center on wok surface in wok coordinates (mm)
# y: y position of hole center on wok surface in wok coordinates (mm)
# z: z position of hole center on wok surface in wok coordinates (mm)
# theta: azimuthal angle of hole, in wok cylindrical coordinates (deg)
# r: radial location of hole, in wok cynlinrical coordinates (mm)
# [ix, iy, iz]: unit vector in wok coordinates showing x direction in tangent coordinates (xy tangent to wok surface)
# [jx, jy, jz]: unit vector in wok coordinates showing y direction in tangent coordinates (xy tangent to wok surface)
# [kx, ky, kz]: unit vector in wok coordinates showing z direction in tangent coordinates (aligned with hole axis)
# sextant: integers in range [1,6], which sextant this position belongs to, only defined for hex pattern holes
# canbus: integers in range [1,4], which canbus this position belongs to, only defined for hex pattern holes
# canorder: integers describing the order of this position along a given canbus, starting near wok origin for each sextant.
# ---------------------------------------------------------------------------------------------------------------------------
,wokType,holeType,holeID,hexRow,hexCol,x,y,z,r,theta,ix,iy,iz,jx,jy,jz,kx,ky,kz,sextant,canbus,canorder
20,LCO,ApogeeBoss,R-13C11,-13.0,11.0,79.712415058468,-256.40750580474,4.117773966645399,268.51234263523395,287.26951607186163,5.943675535250067e-06,-0.9995698108923499,0.0293290490351273,0.999958435202841,0.0002733469082635814,0.009113349996221397,-0.00911744653719488,0.029327775812357862,0.9995282656005989,5.0,1.0,23.0
21,APO,ApogeeBoss,R-13C11,-13.0,11.0,79.631036034536,-256.14573677024,3.8513561544986006,268.2382157066786,287.26951611114026,5.946801116037435e-06,-0.9996228760817907,0.027460982841196156,0.9999635611029722,0.00024037241841017338,0.008533386629163413,-0.008536769347819686,0.027459931446916996,0.9995864523561895,5.0,1.0,23.0
22,LCO,ApogeeBoss,R-13C12,-13.0,12.0,102.481716498438,-256.39326065924,4.354351338346199,276.11592914560947,291.78684639122656,3.763018326975431e-06,-0.999571303056143,0.029278150427992623,0.9999315318321808,0.0003463675957191696,0.01169665239447669,-0.011701779077912665,0.02927610179195836,0.9995028655438055,5.0,1.0,24.0
23,APO,ApogeeBoss,R-13C12,-13.0,12.0,102.377608414554,-256.13279784768,4.0727449883774005,275.83543071542545,291.78684644006825,3.76849245521543e-06,-0.999624185538655,0.027413275469726363,0.9999399754660999,0.0003041211013381337,0.010952304561656795,-0.01095652548274461,0.02741158872696651,0.9995641847089208,5.0,1.0,24.0
24,LCO,ApogeeBoss,R-13C13,-13.0,13.0,125.247764658148,-256.37767132034,4.6500728873896,285.3357897346618,296.03682120631004,8.620862183194317e-06,-0.999572706237909,0.029230204753024992,0.9998980608293637,0.00042597191053554104,0.014271877858553753,-0.014278230820335457,0.029227102014302824,0.9994708142974895,5.0,2.0,22.0
25,APO,ApogeeBoss,R-13C13,-13.0,13.0,125.121268049572,-256.11873667184,4.3493714764492,285.0476082915136,296.03682126265215,8.62217189379782e-06,-0.9996254106737308,0.02736856337174471,0.9999106304454458,0.0003745094033563003,0.013363789316565917,-0.013369033168068492,0.027366002230538748,0.9995360778251423,5.0,2.0,22.0
26,LCO,ApogeeBoss,R-13C14,-13.0,14.0,148.023123584352,-256.3828929609,5.0057852848026,296.04566019225587,300.00006558796036,6.4384681241340026e-06,-0.9995695128063543,0.029339206305110402,0.9998565670699346,0.0005033384258185783,0.01692902647982995,-0.01693650630064587,0.02933488909978689,0.9994261448630566,4.0,1.0,13.0
27,APO,ApogeeBoss,R-13C14,-13.0,14.0,147.873240072588,-256.12465240804,4.6818818669262,295.7470755573156,299.99993340232226,5.367962886640122e-05,-0.9996225860371575,0.027471487089043307,0.9998742496413625,0.0004893005399467435,0.01585072519174956,-0.015858184720206815,0.02746718167864399,0.9994969094039322,4.0,1.0,13.0
28,LCO,ApogeeBoss,R-12C1,-12.0,1.0,-159.405693998236,-236.656581621628,4.6500728873896,285.3357897353459,236.03682120620923,-4.069968675430699e-05,-0.9996358632129091,0.02698405681356356,0.9998348693409875,-0.0005310404550056302,-0.018164582184171104,0.01817229741738388,0.026978861625674182,0.9994708142972244,6.0,2.0,22.0
29,APO,ApogeeBoss,R-12C1,-12.0,1.0,-159.24469831845,-236.417565020668,4.3493714764492,285.0476082917307,236.03682126262203,-4.0700675688287446e-05,-0.9996807812029429,0.02526527333968297,0.9998552312571708,-0.0004705738690774353,-0.017008676841640633,0.01701513652970846,0.025260923453184328,0.999536077825692,6.0,2.0,22.0
30,LCO,ApogeeBoss,R-12C2,-12.0,2.0,-136.645204442852,-236.677082972294,4.265683721168199,273.29096856922104,240.00006774528808,-4.0701432193084085e-05,-0.9996339639552666,0.027054324062416868,0.9998780377795349,-0.0004632038672882863,-0.015610733753554075,0.015617551329848118,0.027050389077759675,0.999512065230431,5.0,1.0,12.0
31,APO,ApogeeBoss,R-12C2,-12.0,2.0,-136.50667938894,-236.435816750738,3.9898243177446,273.01276336534784,239.9999278565041,6.644185031137557e-06,-0.9996791387160093,0.02533021065590747,0.9998930797127904,-0.00036375970253628583,-0.014618372732627635,0.014622896372676164,0.02532759946968235,0.9995722503184935,5.0,1.0,12.0
32,LCO,Boss,R-12C3,-12.0,3.0,-113.87565414689,-236.685486137606,3.9400357829302,262.65506649516016,244.30656080494668,4.4638085583418314e-06,-0.999634005390744,0.02705282326361598,0.9999153049708714,-0.00034762304867816363,-0.01301007468176525,0.013014717249463955,0.027050590098444363,0.9995493398078168,5.0,2.0,11.0
33,APO,Boss,R-12C3,-12.0,3.0,-113.75920740239,-236.443456044324,3.6849694291066006,262.3864805492161,244.30656073771812,4.465208011102103e-06,-0.9996791553144019,0.02532955605504773,0.9999257503004876,-0.00030419761034845545,-0.012182009268617285,0.012185805926106677,0.025327729738327233,0.9996049280792054,5.0,2.0,11.0
